Time,Wavelength,LogTOTAL,LogSTELLA,LogNEBUL
.22706E+07,91.00,25.60646,25.60646,-15.00000
.22706E+07,94.00,25.62327,25.62327,-15.00000
.22706E+07,96.00,25.63802,25.63802,-15.00000
.22706E+07,98.00,25.65265,25.65265,-15.00000
.22706E+07,100.00,25.67387,25.67387,-15.00000
.22706E+07,102.00,25.70430,25.70430,-15.00000
.22706E+07,104.00,25.74831,25.74831,-15.00000
.22706E+07,106.00,25.81094,25.81094,-15.00000
.22706E+07,108.00,25.90162,25.90162,-15.00000
.22706E+07,110.00,26.20514,26.20514,-15.00000
.22706E+07,114.00,27.32899,27.32899,-15.00000
.22706E+07,118.00,27.46547,27.46547,-15.00000
.22706E+07,121.00,27.88320,27.88320,-15.00000
.22706E+07,125.00,28.23600,28.23600,-15.00000
.22706E+07,127.00,28.43550,28.43550,-15.00000
.22706E+07,128.00,28.41164,28.41164,-15.00000
.22706E+07,131.00,28.48371,28.48371,-15.00000
.22706E+07,132.00,28.70456,28.70456,-15.00000
.22706E+07,134.00,28.76449,28.76449,-15.00000
.22706E+07,137.00,29.05287,29.05287,-15.00000
.22706E+07,140.00,29.13910,29.13910,-15.00000
.22706E+07,143.00,29.34042,29.34042,-15.00000
.22706E+07,147.00,30.38635,30.38635,-15.00000
.22706E+07,151.00,30.47041,30.47041,-15.00000
.22706E+07,155.00,30.78658,30.78658,-15.00000
.22706E+07,159.00,31.27286,31.27286,-15.00000
.22706E+07,162.00,33.20572,33.20572,-15.00000
.22706E+07,166.00,33.60441,33.60441,-15.00000
.22706E+07,170.00,33.68754,33.68754,-15.00000
.22706E+07,173.00,33.78676,33.78676,-15.00000
.22706E+07,177.00,33.96336,33.96336,-15.00000
.22706E+07,180.00,34.11558,34.11558,-15.00000
.22706E+07,182.00,34.19675,34.19675,-15.00000
.22706E+07,186.00,34.35688,34.35688,-15.00000
.22706E+07,191.00,34.54955,34.54955,-15.00000
.22706E+07,194.00,34.28448,34.28448,-15.00000
.22706E+07,198.00,34.56583,34.56583,-15.00000
.22706E+07,202.00,33.74596,33.74596,-15.00000
.22706E+07,205.00,34.01501,34.01501,-15.00000
.22706E+07,210.00,35.11465,35.11465,-15.00000
.22706E+07,216.00,35.32670,35.32670,-15.00000
.22706E+07,220.00,35.34997,35.34997,-15.00000
.22706E+07,223.00,35.61147,35.61147,-15.00000
.22706E+07,227.00,35.61187,35.61187,-15.00000
.22706E+07,230.00,35.25922,35.25922,-15.00000
.22706E+07,234.00,36.49717,36.49717,-15.00000
.22706E+07,240.00,36.40559,36.40559,-15.00000
.22706E+07,246.00,35.90667,35.90667,-15.00000
.22706E+07,252.00,36.84220,36.84220,-15.00000
.22706E+07,257.00,37.62756,37.62756,-15.00000
.22706E+07,260.00,37.20367,37.20367,-15.00000
.22706E+07,264.00,37.76849,37.76849,-15.00000
.22706E+07,269.00,37.96990,37.96990,-15.00000
.22706E+07,274.00,37.71741,37.71741,-15.00000
.22706E+07,279.00,36.69506,36.69506,-15.00000
.22706E+07,284.00,38.00001,38.00001,-15.00000
.22706E+07,290.00,37.66930,37.66930,-15.00000
.22706E+07,296.00,38.08572,38.08572,-15.00000
.22706E+07,301.00,38.01560,38.01560,-15.00000
.22706E+07,308.00,37.96785,37.96785,-15.00000
.22706E+07,318.00,38.90197,38.90197,-15.00000
.22706E+07,328.00,38.08082,38.08082,-15.00000
.22706E+07,338.00,38.09497,38.09497,-15.00000
.22706E+07,348.00,38.32411,38.32411,-15.00000
.22706E+07,357.00,37.97790,37.97790,-15.00000
.22706E+07,366.00,38.95252,38.95252,-15.00000
.22706E+07,375.00,38.87653,38.87653,-15.00000
.22706E+07,385.00,38.48414,38.48414,-15.00000
.22706E+07,395.00,39.00029,39.00029,-15.00000
